Agency Clustering Report (2025)
================================================================================

TABLE 1: AGENCIES BY DOMINANT COMMENTER CATEGORY
--------------------------------------------------
Dominant Category                             | # Agencies
--------------------------------------------------
Undecided/Anonymous                           |          4
Ordinary Citizen                              |         58
Large Organization/Corporation                |         21
Academic/Industry/Expert (incl. small/local business) |          8
Political Consultant/Lobbyist                 |          0
--------------------------------------------------
TOTAL                                         |         91


TABLE 2: DETAILED AGENCY BREAKDOWN
------------------------------------------------------------------------------------------------------------------------
Agency                                             | Dominant Category         |   Share |    Delta |   Comments
Health and Human Services Department, Health Res   | Large Organization/Corp   |   78.3% |   +61.5pp |      1,116
Commerce Department, International Trade Adminis   | Large Organization/Corp   |   71.9% |   +60.8pp |        261
Treasury Department, Comptroller of the Currency   | Large Organization/Corp   |   69.0% |   +56.4pp |        288
Federal Maritime Commission                        | Large Organization/Corp   |   67.9% |   +53.3pp |         66
Treasury Department, Comptroller of the Currency   | Large Organization/Corp   |   67.0% |   +55.6pp |        158
Transportation Department, Federal Transit Admin   | Large Organization/Corp   |   66.0% |   +45.8pp |         73
National Credit Union Administration               | Large Organization/Corp   |   59.6% |   +41.5pp |        247
Commerce Department, Industry and Security Burea   | Large Organization/Corp   |   59.3% |   +42.7pp |      2,781
Labor Department, Mine Safety and Health Adminis   | Large Organization/Corp   |   59.2% |   +44.4pp |        139
Labor Department, Employment and Training Admini   | Large Organization/Corp   |   57.7% |   +38.0pp |         85
Treasury Department, Comptroller of the Currency   | Large Organization/Corp   |   52.4% |   +36.9pp |         79
Treasury Department, Internal Revenue Service, L   | Large Organization/Corp   |   52.1% |   +20.8pp |        130
Agriculture Department, Food and Nutrition Servi   | Large Organization/Corp   |   48.3% |   +19.2pp |        266
Defense Department, General Services Administrat   | Large Organization/Corp   |   48.1% |   +14.6pp |        119
Small Business Administration                      | Large Organization/Corp   |   43.0% |   +18.7pp |         72
Defense Department, Engineers Corps                | Large Organization/Corp   |   42.9% |   +16.5pp |        461
Consumer Product Safety Commission                 | Large Organization/Corp   |   42.2% |   +12.1pp |         88
Commerce Department, Census Bureau                 | Large Organization/Corp   |   37.7% |   +12.5pp |         60
Transportation Department, Federal Highway Admin   | Large Organization/Corp   |   36.7% |   +10.0pp |         70
Treasury Department, Financial Crimes Enforcemen   | Large Organization/Corp   |   33.5% |    +4.5pp |        219

--- Academic/Industry/Expert (incl. small/local business) ---
Library of Congress, Copyright Office, Library o   | Academic/Industry/Exper   |   96.8% |   +94.9pp |      5,050
Agriculture Department, Federal Crop Insurance C   | Academic/Industry/Exper   |   82.0% |   +65.4pp |        317
National Aeronautics and Space Administration      | Academic/Industry/Exper   |   55.6% |   +29.6pp |         78
Treasury Department, Internal Revenue Service      | Academic/Industry/Exper   |   44.1% |   +20.8pp |        482
Agriculture Department, Food Safety and Inspecti   | Academic/Industry/Exper   |   42.8% |   +14.9pp |         78
Science and Technology Policy Office               | Academic/Industry/Exper   |   41.1% |   +10.5pp |        503
Homeland Security Department, U.S. Immigration a   | Academic/Industry/Exper   |   40.1% |    +9.1pp |        191
Defense Department                                 | Academic/Industry/Exper   |   32.7% |    +2.1pp |        377
------------------------------------------------------------------------------------------------------------------------

Notes:
- Share: Percentage of comments from the dominant category
- Delta: Difference in percentage points between dominant and second-largest category
- pp = percentage points
